original_id	goodreads_id
Correspondência completa de Casimiro de Abreu|Casimiro de Abreu;Mário Alves de Oliveira	8399162
Correspondência epistolar entre José Cardoso Vieira de Castro e Camilo Castelo Branco|Camilo Castelo Branco;José Cardoso Vieira de Castro	51953050
Corte na aldeia e noites de inverno|Francisco Rodrigues Lobo	6867669
Cosmographicus Liber Petri Apiani Mathematici studiose collectus|Petrus Apianus	37675875
Costumes madrilenhos|Magalhães Lima	27703495
Cravos de papel|Eugénio de Castro	37995419
Crepúsculo dos deuses|João Ribeiro	42002880
Crítica e fantasia|Olavo Bilac	31071794
Crítica e polêmica|José Getúlio da Frota Pessoa	39433152
Crítica teatral|Machado de Assis	58271897
Crônica d'El-Rei D. Duarte|Rui de Pina	57811164
Crônica do Imperador Clarimundo|João de Barros	15847898
Crônicas do Dr. Semana|Machado de Assis	27731335
Crônicas do Rio|Raul Pompeia	2823958
Curso de literatura portuguesa|Camilo Castelo Branco	51038342
Curso elementar de literatura nacional|Fernandes Pinheiro	41266315
D. António Alves Martins, bispo de Viseu|Camilo Castelo Branco	28646347
D. Branca, ou A conquista do Algarve|Almeida Garrett	11177403
D. Francisco Manuel de Melo|Carolina Michaëlis de Vasconcelos	39523687
D. Jaime, ou A dominação de Castela|Tomás Ribeiro;Castilho	13414340
D. Luiz de Portugal, neto do Prior do Crato|Camilo Castelo Branco	32229312
D. Narcisa de Vilar|Ana Luísa de Azevedo Castro	18815426
Da arte e do patriotismo|Mateus de Albuquerque	40462639
"Da colaboração no ""Distrito de Évora""|Eça de Queirós"	17665881
Da loucura e das manias em Portugal|Júlio César Machado	23386291
Da origem e estabelecimento da Inquisição em Portugal|Alexandre Herculano	20658208
Das letras às telas|Cleomar Pinheiro Sotta	35534959
Datos históricos de la Guerra del Paraguay|Francisco Isidoro Resquín	41966110
De Angola à contracosta|Roberto Ivens;Hermenegildo Capelo	12691921
De Benquela às terras de Iaca|Roberto Ivens;Hermenegildo Capelo	23675589
De gestis Mendi de Saa|José de Anchieta	2901224
De la navegación del Amazonas|Pedro de Angelis	37612719
De la navigation de l'Amazone|Pedro de Angelis	10110937
De poeta a editor de poesia|Fabiana Gonçalves	32970271
Delitos da mocidade|Camilo Castelo Branco;João António de Freitas Fortuna	23124240
Depois da ceifa|Eugénio de Castro	40473674
Description of a view of the city of St. Sebastian, and the Bay of Rio Janeiro: now exhibiting in the Panorama, Leicester-Square|Robert Burford	32395469
Diário de Bitita|Carolina de Jesus	30286148
Diário de uma expedição|Euclides da Cunha	31455565
Diário do último ano|Florbela Espanca	16480534
Dias e noites|Tobias Barreto	31566836
Dicionário bibliográfico português|Brito Aranha;Inocêncio Francisco da Silva	16184232
Dicionário de rimas luso-brasileiro|Castilho;Eugénio de Castilho	50582616
Dicionário imperfeito|Agustina Bessa-Luís;Luís Abel Ferreira;Manuel Vieira da Cruz	16155952
Digressões e novelas|Bulhão Pato	16204542
Discursos parlamentares|Gabriel José Rodrigues dos Santos	37405475
Discursos sobre a constituição política da República portuguesa|Teófilo Braga	34844221
Ditos da freira|Joana da Gama	49373920
Divindade de Jesus e tradição apostólica|Camilo Castelo Branco	36018572
Do civismo e da arte no Brasil|Joaquim Leitão	39554259
Doidinho|José Lins do Rego	1419150
Dom Pedro II, Imperador do Brasil|B. Mossé	31973645
Dona Jucunda|Machado de Assis	53854593
Duas épocas da vida|Camilo Castelo Branco	45053100
Duas horas de leitura|Camilo Castelo Branco	35018013
Duas obras de misericórdia (ensinar os ignorantes e castigar os que erram)|José de Sousa Monteiro;Um Vimaranense	37605559
Duas páginas dos quatorze anos|Guerra Junqueiro	31940439
Éclogas|Bernardim Ribeiro	31358209
Ecos de Paris|Eça de Queirós	1201988
Edição crítica da obra poética de Gregório de Matos|Gregório de Matos;Francisco Topa	15643914
Eduardo Prado|Machado de Assis	22299199
Efemérides mineiras (1664-1897)|José Pedro Xavier da Veiga	4454419
El mejor par de los doze|Juan de Matos Fragoso;Agustín Moreto	39535949
El-Rei Junot|Raul Brandão	13630057
Elegia da solidão|Teixeira de Pascoaes	17882767
Elementos de higiene|Francisco de Melo Franco	37449385
