original_id	work_title	work_authors	authors_lifetime	work_publication_year	work_category	file_format	notes	original_source
O Annel Mysterioso|Pimentel, Alberto	O Annel Mysterioso	Pimentel, Alberto	1849-1925	1904	Romance Histórico	HTML, EPUB, MOBI e TXT		Project Gutenberg
Christo não volta|Pimentel, Alberto	Christo não volta	Pimentel, Alberto	1849-1925	1873	Novela	HTML, EPUB, MOBI e TXT		Project Gutenberg
Chronicas de Viagem|Pimentel, Alberto	Chronicas de Viagem	Pimentel, Alberto	1849-1925	1888	Literatura de Viagem	HTML, EPUB, MOBI e TXT		Project Gutenberg
Um contemporaneo do Infante D. Henrique|Pimentel, Alberto	Um contemporaneo do Infante D. Henrique	Pimentel, Alberto	1849-1925	1894	Biografia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Da importancia da Historia Universal Philosophica na esphera dos conhecimentos humanos|Pimentel, Alberto	Da importancia da Historia Universal Philosophica na esphera dos conhecimentos humanos	Pimentel, Alberto	1849-1925	1878	História	HTML, EPUB, MOBI e TXT		Project Gutenberg
Entre o caffé e o cognac|Pimentel, Alberto	Entre o caffé e o cognac	Pimentel, Alberto	1849-1925	1873	Ensaio	HTML, EPUB, MOBI e TXT		Project Gutenberg
Historias de Reis e Principes|Pimentel, Alberto	Historias de Reis e Principes	Pimentel, Alberto	1849-1925	1890	História	HTML, EPUB, MOBI e TXT		Project Gutenberg
Julio Diniz|Pimentel, Alberto	Julio Diniz	Pimentel, Alberto	1849-1925	1872	Biografia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Manhãs de Cascaes|Pimentel, Alberto	Manhãs de Cascaes	Pimentel, Alberto	1849-1925	1893	Romance	HTML, EPUB, MOBI e TXT		Project Gutenberg
Nervosos, Lymphaticos e Sanguineos|Pimentel, Alberto	Nervosos, Lymphaticos e Sanguineos	Pimentel, Alberto	1849-1925	1872	Ensaio  Literatura	HTML, EPUB, MOBI e TXT		Project Gutenberg
Os netos de Camillo|Pimentel, Alberto	Os netos de Camillo	Pimentel, Alberto	1849-1925	1901	Ensaio  Literatura	HTML, EPUB, MOBI e TXT		Project Gutenberg
Noites de Cintra|Pimentel, Alberto	Noites de Cintra	Pimentel, Alberto	1849-1925	1908	Romance	HTML, EPUB, MOBI e TXT		Project Gutenberg
As Noites do Asceta|Pimentel, Alberto	As Noites do Asceta	Pimentel, Alberto	1849-1925	1876	Novela	HTML, EPUB, MOBI e TXT		Project Gutenberg
O poeta Chiado|Pimentel, Alberto	O poeta Chiado	Pimentel, Alberto	1849-1925	1903	Biografia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Poetas do Minho I - João Penha|Pimentel, Alberto	Poetas do Minho I - João Penha	Pimentel, Alberto	1849-1925	1894	Biografia	HTML, EPUB, MOBI e TXT		Project Gutenberg
O Romance da Rainha Mercedes|Pimentel, Alberto	O Romance da Rainha Mercedes	Pimentel, Alberto	1849-1925	1879	Novela	HTML, EPUB, MOBI e TXT		Project Gutenberg
A ultima ceia do Doutor Fausto|Pimentel, Alberto	A ultima ceia do Doutor Fausto	Pimentel, Alberto	1849-1925	1876	Novela	HTML, EPUB, MOBI e TXT		Project Gutenberg
Vinte Annos de Vida Litteraria|Pimentel, Alberto	Vinte Annos de Vida Litteraria	Pimentel, Alberto	1849-1925	1908	Memórias	HTML, EPUB, MOBI e TXT		Project Gutenberg
Uma visita ao primeiro romancista portuguez em S. Miguel de Seide|Pimentel, Alberto	Uma visita ao primeiro romancista portuguez em S. Miguel de Seide	Pimentel, Alberto	1849-1925	1885	Ensaio  Literatura	HTML, EPUB, MOBI e TXT		Project Gutenberg
Histórias da Avózinha|Pimentel, Alberto Figueiredo	Histórias da Avózinha	Pimentel, Alberto Figueiredo	1869-1914	1896	Literatura Infanto-Juvenil	PDF	Fonte Original: Fundação Biblioteca Nacional	Portal Domínio Público
Chronica de El-Rei D. Affonso V - Vol. I|Pina, Rui de	Chronica de El-Rei D. Affonso V - Vol. I	Pina, Rui de	1440?-1522?	1901	Crónicas	HTML, EPUB, MOBI e TXT		Project Gutenberg
Chronica de el-rei D. Affonso V - Vol. II|Pina, Rui de	Chronica de el-rei D. Affonso V - Vol. II	Pina, Rui de	1440?-1522?	1902	Crónicas	HTML, EPUB, MOBI e TXT		Project Gutenberg
Chronica de el-rei D. Affonso V - Vol. III|Pina, Rui de	Chronica de el-rei D. Affonso V - Vol. III	Pina, Rui de	1440?-1522?	1902	Crónicas	HTML, EPUB, MOBI e TXT		Project Gutenberg
Chronica de El-Rei D. Sancho II|Pina, Rui de	Chronica de El-Rei D. Sancho II	Pina, Rui de	1440?-1522?	1906	Crónicas	HTML, EPUB, MOBI e TXT		Project Gutenberg
Chronica de El-Rey D. Affonso II|Pina, Rui de	Chronica de El-Rey D. Affonso II	Pina, Rui de	1440?-1522?	1906	Crónicas	HTML, EPUB, MOBI e TXT		Project Gutenberg
Chronica d'El-Rei D. Affonso III|Pina, Rui de	Chronica d'El-Rei D. Affonso III	Pina, Rui de	1440?-1522?	1907	Crónicas	HTML, EPUB, MOBI e TXT		Project Gutenberg
Chronica d'el rei D. Diniz - Vol. I|Pina, Rui de	Chronica d'el rei D. Diniz - Vol. I	Pina, Rui de	1440?-1522?	1912	Crónicas	HTML, EPUB, MOBI e TXT		Project Gutenberg
Chronica d'el rei D. Diniz - Vol. II|Pina, Rui de	Chronica d'el rei D. Diniz - Vol. II	Pina, Rui de	1440?-1522?	1912	Crónicas	HTML, EPUB, MOBI e TXT		Project Gutenberg
Memorias sobre as possessões portuguezas na Asia|Pinto, Gonçalo de Magalhães Teixeira	Memorias sobre as possessões portuguezas na Asia	Pinto, Gonçalo de Magalhães Teixeira	17---1825	1859	História	PDF		Biblioteca Digital do Alentejo
